GeneNames,log2FC,p-value
LOC_Os03g43720.2,2.874469118,3.21E-10
LOC_Os03g05290.1,0.877515993,3.70E-10
LOC_Os01g15020.1,0.924051147,4.20E-10
LOC_Os11g26860.1,1.68589141,4.32E-10
LOC_Os03g25960.1,-2.404390255,4.91E-10
LOC_Os04g52500.1,4.906890596,5.58E-10
LOC_Os03g21040.2,0.914270126,6.01E-10
LOC_Os02g07260.2,0.790772038,7.26E-10
LOC_Os06g15330.1,-3.700439718,9.16E-10
LOC_Os03g03360.1,-2.807354922,1.12E-09
LOC_Os09g27830.3,4,1.14E-09
LOC_Os02g57290.1,-1.823969636,1.20E-09
LOC_Os02g28980.1,4.857980995,1.21E-09
LOC_Os05g23740.1,0.842458723,1.22E-09
LOC_Os09g26810.1,-4.459431619,1.42E-09
LOC_Os08g03290.1,0.179858923,1.85E-09
LOC_Os01g03730.1,2.772589504,2.17E-09
LOC_Os04g26910.1,2.38466385,2.23E-09
LOC_Os06g36560.1,1.545968369,2.57E-09
LOC_Os07g43810.1,-1.874469118,2.68E-09
LOC_Os03g16050.1,-1.769880217,3.02E-09
LOC_Os02g42890.1,2.054447784,3.14E-09
LOC_Os01g48960.1,1.097610797,3.96E-09
LOC_Os07g47530.2,1.526068812,4.22E-09
LOC_Os12g31000.1,-4.392317423,4.59E-09
LOC_Os06g45710.1,1.321928095,4.80E-09
LOC_Os04g23890.4,1.238159737,5.22E-09
LOC_Os09g29630.1,-1.850423644,5.88E-09
LOC_Os12g32986.1,1.706268797,7.32E-09
LOC_Os06g08670.1,1.304854582,7.51E-09
LOC_Os03g52630.1,-3.025535092,7.81E-09
LOC_Os03g21720.1,1.469485283,9.55E-09
LOC_Os05g38150.1,1.485426827,1.13E-08
LOC_Os03g57200.1,4.700439718,1.22E-08
LOC_Os05g49300.1,1.434937057,1.33E-08
LOC_Os12g44030.1,1.542527234,1.36E-08
LOC_Os01g55830.1,1.562936194,1.56E-08
LOC_Os08g20660.1,3.36923381,1.73E-08
LOC_Os10g41360.1,3.36923381,1.73E-08
LOC_Os08g45010.1,0.802319332,1.78E-08
LOC_Os11g39020.1,1.632268215,1.86E-08
LOC_Os06g21590.2,-0.834576391,1.99E-08
LOC_Os03g08430.2,1.415037499,2.12E-08
LOC_Os12g44050.1,2.807354922,2.33E-08
LOC_Os12g36640.2,1.688055994,2.36E-08
LOC_Os05g41640.1,-1.440572591,2.47E-08
LOC_Os12g37060.1,1.540568381,2.58E-08
LOC_Os03g21620.1,1.943416472,2.82E-08
LOC_Os05g08840.1,1.893084796,2.90E-08
LOC_Os03g52860.1,-2.015596855,3.08E-08
LOC_Os12g12850.1,0.382300713,3.20E-08
LOC_Os03g58790.1,2.478047297,3.51E-08
LOC_Os05g48630.2,-1.378511623,3.87E-08
LOC_Os05g24550.1,1.115477217,3.85E-08
LOC_Os06g34040.1,1.115477217,3.85E-08
LOC_Os03g28330.1,-1.856264523,4.04E-08
LOC_Os07g49270.1,1.719892081,4.03E-08
LOC_Os03g16670.1,2.137503524,4.73E-08
LOC_Os02g01030.4,2.137503524,4.73E-08
LOC_Os01g58194.1,4.584962501,5.70E-08
LOC_Os12g43600.1,-0.984893108,6.48E-08
LOC_Os05g06140.1,-2.781359714,7.27E-08
LOC_Os04g58280.2,-1.517399217,7.92E-08
LOC_Os03g06620.1,1.884522783,8.40E-08
LOC_Os04g53190.1,1.884522783,8.40E-08
LOC_Os05g50380.2,2.10433666,8.36E-08
LOC_Os10g35960.1,-1.836501268,9.63E-08
LOC_Os08g03290.1,-2.494764692,9.81E-08
LOC_Os11g05110.3,0.958580073,1.08E-07
LOC_Os01g07870.1,1.667424661,1.11E-07
LOC_Os02g32520.1,2.402098444,1.17E-07
LOC_Os06g02380.1,0.510615159,1.33E-07
LOC_Os12g02250.1,3.222392421,1.42E-07
LOC_Os02g50240.1,-1.185555653,1.42E-07
LOC_Os09g29890.1,2,1.56E-07
LOC_Os06g04270.1,-1.137503524,1.75E-07
LOC_Os12g24080.1,1.067114196,1.92E-07
LOC_Os04g24600.1,1.015596855,1.96E-07
LOC_Os10g40700.1,-4.95419631,2.24E-07
LOC_Os08g43440.1,2.115477217,2.64E-07
LOC_Os05g50710.1,1.874469118,2.74E-07
LOC_Os02g28830.1,1.35614381,2.83E-07
LOC_Os05g49770.2,3.169925001,2.86E-07
LOC_Os04g38390.1,3.169925001,2.86E-07
LOC_Os01g21420.1,3.169925001,2.86E-07
LOC_Os01g56670.2,-1.637429921,3.35E-07
LOC_Os08g27850.1,0.955145764,3.37E-07
LOC_Os11g04720.2,-2.938599455,3.89E-07
LOC_Os01g08700.1,0.752689946,3.91E-07
LOC_Os08g04430.1,2.857980995,3.95E-07
LOC_Os02g57260.1,1.74723393,3.96E-07
LOC_Os02g01740.1,1.38332864,4.01E-07
LOC_Os06g36360.2,1.38332864,4.01E-07
LOC_Os01g33960.1,1.38332864,4.01E-07
LOC_Os01g43370.1,2,4.59E-07
LOC_Os10g33800.2,0.563900885,4.63E-07
LOC_Os09g32050.1,2.632268215,5.60E-07
LOC_Os09g25850.1,4.392317423,5.65E-07
LOC_Os07g04210.1,3.115477217,5.74E-07
LOC_Os08g44680.1,-0.952171475,5.81E-07
LOC_Os09g20220.1,3.584962501,6.30E-07
LOC_Os04g57550.1,1.14543044,6.51E-07
LOC_Os07g35940.1,1.14543044,6.51E-07
LOC_Os07g34730.1,2.415037499,6.67E-07
LOC_Os03g06139.1,1.506959989,6.75E-07
LOC_Os04g04020.1,1.530514717,7.40E-07
LOC_Os06g12310.1,2.807354922,7.59E-07
LOC_Os01g55950.1,1.898120386,7.92E-07
LOC_Os09g24230.1,2.169925001,7.91E-07
LOC_Os03g14690.1,0.862496476,9.12E-07
LOC_Os01g53520.1,1.359081093,9.78E-07
LOC_Os04g38870.4,-1.824428435,1.01E-06
LOC_Os06g08110.1,2.584962501,1.03E-06
LOC_Os01g11070.1,3.058893689,1.15E-06
LOC_Os04g55710.1,-3.247927513,1.15E-06
LOC_Os03g24450.1,4.321928095,1.21E-06
LOC_Os01g53220.1,4.321928095,1.21E-06
LOC_Os12g31850.4,2.36923381,1.25E-06
LOC_Os07g30020.1,0.807354922,1.35E-06
LOC_Os06g10810.1,-2.614709844,1.40E-06
LOC_Os03g41460.1,2.129283017,1.39E-06
LOC_Os04g32020.1,1.105353,1.49E-06
LOC_Os02g11740.2,-1.10496956,1.50E-06
LOC_Os02g52940.1,-1.051428239,1.48E-06
LOC_Os10g28200.2,-1.453717967,1.56E-06
LOC_Os11g34350.1,0.966052668,1.57E-06
LOC_Os08g01380.2,-1.833990049,1.64E-06
LOC_Os07g01760.1,0.600069393,1.69E-06
LOC_Os06g45120.1,0.690044547,1.76E-06
LOC_Os03g03910.1,0.680382066,1.80E-06
LOC_Os03g59340.1,-1.545434137,2.26E-06
LOC_Os07g44060.1,3,2.29E-06
LOC_Os01g15010.1,1.8259706,2.32E-06
LOC_Os02g39890.1,-2.378511623,2.50E-06
LOC_Os01g19130.1,3.459431619,2.49E-06
LOC_Os02g14770.1,0.296393003,2.55E-06
LOC_Os04g49350.1,4.247927513,2.58E-06
LOC_Os02g29550.2,4.247927513,2.58E-06
LOC_Os07g04840.1,-0.936059179,2.88E-06
LOC_Os03g25940.4,0.565199246,2.94E-06
LOC_Os03g04970.1,2.485426827,3.48E-06
LOC_Os01g71300.2,2.485426827,3.48E-06
LOC_Os07g10770.1,-1.725825037,3.59E-06
LOC_Os04g40660.3,1.283792966,3.68E-06
LOC_Os02g12650.1,1.736965594,3.78E-06
LOC_Os03g44230.1,1.169925001,3.77E-06
LOC_Os03g48300.1,-2.350497247,3.92E-06
LOC_Os10g08550.5,0.517217894,4.19E-06
LOC_Os07g48500.1,0.326315412,4.18E-06
LOC_Os01g71990.1,2.044394119,4.32E-06
LOC_Os10g10500.1,1.395928676,4.35E-06
LOC_Os02g52780.1,2.938599455,4.56E-06
LOC_Os01g43710.1,2.938599455,4.56E-06
LOC_Os12g21890.1,2.938599455,4.56E-06
LOC_Os04g36720.1,1.959358016,4.55E-06
LOC_Os09g23350.1,1.959358016,4.55E-06
LOC_Os06g29180.1,1.959358016,4.55E-06
LOC_Os05g49290.2,-3.857980995,4.71E-06
LOC_Os02g54254.2,-3.857980995,4.71E-06
LOC_Os05g46290.1,2.64385619,5.36E-06
LOC_Os04g49570.1,2.64385619,5.36E-06
LOC_Os03g22270.2,1.257797757,5.70E-06
LOC_Os01g08320.1,-1.788495895,5.80E-06
LOC_Os05g49200.1,0.590479506,5.90E-06
LOC_Os05g47560.1,1.06608919,6.04E-06
LOC_Os09g01000.1,-0.065200652,6.12E-06
LOC_Os01g10050.2,2.432959407,6.39E-06
LOC_Os01g68700.1,-1.956931278,6.61E-06
LOC_Os03g21230.1,-2.887525271,7.11E-06
LOC_Os03g26960.1,1.068171503,7.19E-06
LOC_Os07g29410.1,1.096215315,7.19E-06
LOC_Os09g36480.2,2,7.59E-06
LOC_Os08g42850.1,-3.415037499,7.80E-06
LOC_Os04g37660.1,-3.415037499,7.80E-06
LOC_Os12g34014.1,1.91753784,7.77E-06
LOC_Os02g52650.1,-3.807354922,8.30E-06
LOC_Os11g33270.1,-3.807354922,8.30E-06
LOC_Os01g07970.1,-4.64385619,8.91E-06
LOC_Os01g25386.1,1.321928095,9.43E-06
LOC_Os02g11050.1,0.722466024,9.61E-06
LOC_Os12g42980.1,1.163498732,9.89E-06
LOC_Os02g38920.1,0.524841508,1.14E-05
LOC_Os03g45960.1,4.087462841,1.17E-05
LOC_Os05g08370.1,-1.584962501,1.23E-05
LOC_Os05g36270.2,-3.321928095,1.29E-05
LOC_Os01g13210.1,1.765534746,1.30E-05
LOC_Os05g49890.3,0.654004145,1.29E-05
LOC_Os01g40470.1,0.921997488,1.29E-05
LOC_Os12g08260.4,1.874469118,1.32E-05
LOC_Os12g41390.3,2.222392421,1.37E-05
LOC_Os02g30630.1,-2.550197083,1.43E-05
LOC_Os01g12710.1,1.514573173,1.43E-05
LOC_Os03g07360.1,1.514573173,1.43E-05
LOC_Os01g62080.2,1.514573173,1.43E-05
LOC_Os02g47220.2,-4.523561956,1.56E-05
LOC_Os02g13140.1,1.306661338,1.72E-05
LOC_Os02g07870.1,0.591194454,1.75E-05
LOC_Os03g52840.2,-0.930097987,1.83E-05
LOC_Os10g37730.1,3.247927513,1.96E-05
LOC_Os09g01960.1,3.247927513,1.96E-05
LOC_Os04g55930.1,3.247927513,1.96E-05
LOC_Os04g32020.3,0.648156327,2.10E-05
LOC_Os03g48080.1,1.263034406,2.28E-05
LOC_Os08g38460.1,1.906890596,2.32E-05
LOC_Os10g35720.1,1.478047297,2.35E-05
