GeneNames,log2FC,p-value
LOC_Os02g15580.3,1,0.151564778
LOC_Os07g07470.1,1,0.151564778
LOC_Os01g56470.1,1,0.151564778
LOC_Os05g33644.1,1,0.151564778
LOC_Os05g51630.1,1,0.151564778
LOC_Os12g02660.2,1,0.151564778
LOC_Os04g36620.1,1,0.151564778
LOC_Os01g64970.1,1,0.151564778
LOC_Os04g56480.1,1,0.151564778
LOC_Os07g46690.1,1,0.151564778
LOC_Os06g04820.1,1,0.151564778
LOC_Os12g37710.1,1,0.151564778
LOC_Os08g25734.1,0.120294234,0.151428704
LOC_Os08g25390.1,-0.847996907,0.149281879
LOC_Os08g33370.2,-0.847996907,0.149281879
LOC_Os01g02720.1,1.584962501,0.150918038
LOC_Os07g27110.1,1.584962501,0.150918038
LOC_Os07g26210.2,1.584962501,0.150918038
LOC_Os01g64030.2,1.584962501,0.150918038
LOC_Os08g03650.1,1.584962501,0.150918038
LOC_Os03g22050.1,1.584962501,0.150918038
LOC_Os06g38550.1,1.584962501,0.150918038
LOC_Os05g01490.1,1.584962501,0.150918038
LOC_Os03g04980.1,1.584962501,0.150918038
LOC_Os06g40490.1,1.584962501,0.150918038
LOC_Os03g44800.1,1.584962501,0.150918038
LOC_Os08g27824.1,1.584962501,0.150918038
LOC_Os03g55784.1,1.584962501,0.150918038
LOC_Os01g57066.1,1.584962501,0.150918038
LOC_Os02g35660.1,1.584962501,0.150918038
LOC_Os02g14290.1,1.584962501,0.150918038
LOC_Os06g33180.2,1.584962501,0.150918038
LOC_Os07g08440.1,1.584962501,0.150918038
LOC_Os06g45860.1,1.584962501,0.150918038
LOC_Os10g35920.1,1.584962501,0.150918038
LOC_Os07g06550.1,1.584962501,0.150918038
LOC_Os05g45900.1,1.584962501,0.150918038
LOC_Os11g11320.1,1.584962501,0.150918038
LOC_Os01g54480.1,1.584962501,0.150918038
LOC_Os12g08090.1,1.584962501,0.150918038
LOC_Os05g02940.1,1.584962501,0.150918038
LOC_Os08g16910.1,1.584962501,0.150918038
LOC_Os01g22870.1,1.584962501,0.150918038
LOC_Os01g07950.1,1.584962501,0.150918038
LOC_Os01g61010.1,1.584962501,0.150918038
LOC_Os01g01450.2,1.584962501,0.150918038
LOC_Os01g46710.1,1.584962501,0.150918038
LOC_Os01g12550.1,1.584962501,0.150918038
LOC_Os03g23970.1,1.584962501,0.150918038
LOC_Os03g50325.1,1.584962501,0.150918038
LOC_Os01g17010.1,1.584962501,0.150918038
LOC_Os11g10520.3,1.584962501,0.150918038
LOC_Os06g14400.1,1.584962501,0.150918038
LOC_Os04g39864.2,1.584962501,0.150918038
LOC_Os09g13610.1,1.584962501,0.150918038
LOC_Os02g55170.1,1.584962501,0.150918038
LOC_Os01g59930.1,1.584962501,0.150918038
LOC_Os01g40980.1,1.584962501,0.150918038
LOC_Os07g01880.1,1.584962501,0.150918038
LOC_Os07g10890.2,1.584962501,0.150918038
LOC_Os04g57640.1,1.584962501,0.150918038
LOC_Os08g29650.1,1.584962501,0.150918038
LOC_Os01g46926.2,1.584962501,0.150918038
LOC_Os05g12170.4,1.584962501,0.150918038
LOC_Os03g60710.1,1.584962501,0.150918038
LOC_Os10g38960.1,1.584962501,0.150918038
LOC_Os05g07070.5,1.584962501,0.150918038
LOC_Os03g38590.1,1.584962501,0.150918038
LOC_Os03g02640.1,1.584962501,0.150918038
LOC_Os06g48030.1,1.584962501,0.150918038
LOC_Os04g51410.1,1.584962501,0.150918038
LOC_Os07g14850.1,1.584962501,0.150918038
LOC_Os07g31380.1,0.371968777,0.149686273
LOC_Os03g01100.1,0.371968777,0.149686273
LOC_Os09g32820.1,0.371968777,0.149686273
LOC_Os09g28570.1,0.371968777,0.149686273
LOC_Os06g05880.1,0.10496956,0.150027312
LOC_Os05g06770.1,0.469485283,0.150118628
LOC_Os02g18550.1,0.469485283,0.150118628
LOC_Os09g36680.1,0.469485283,0.150118628
LOC_Os01g59080.1,0.245112498,0.150731497
LOC_Os03g55970.1,-1.137503524,0.155072838
LOC_Os11g04070.1,-1.137503524,0.155072838
LOC_Os05g46220.1,-1.137503524,0.155072838
LOC_Os03g22890.2,-1.137503524,0.155072838
LOC_Os10g27050.1,-1.137503524,0.155072838
LOC_Os03g11720.1,-1.137503524,0.155072838
LOC_Os03g53600.1,-1.137503524,0.155072838
LOC_Os02g51670.1,-0.668378509,0.155639741
LOC_Os09g34910.1,-0.823122238,0.15582443
LOC_Os03g58230.1,0.237039197,0.156749856
LOC_Os03g45320.1,0.237039197,0.156749856
LOC_Os02g49090.2,0.237039197,0.156749856
LOC_Os05g23600.2,0.237039197,0.156749856
LOC_Os02g48620.1,-0.723482365,0.157348212
LOC_Os06g43270.1,0.584962501,0.158450091
LOC_Os12g07220.1,0.584962501,0.158450091
LOC_Os02g55560.2,0.584962501,0.158450091
LOC_Os03g58840.1,0.584962501,0.158450091
LOC_Os02g02360.1,0.584962501,0.158450091
LOC_Os07g47350.1,0.584962501,0.158450091
LOC_Os01g69990.1,0.584962501,0.158450091
LOC_Os05g48500.3,0.584962501,0.158450091
LOC_Os01g69120.2,0.584962501,0.158450091
LOC_Os06g51084.1,0.353636955,0.158394263
LOC_Os05g12260.1,0.353636955,0.158394263
LOC_Os01g22900.1,0.353636955,0.158394263
LOC_Os12g03880.1,-0.862496476,0.160816402
LOC_Os01g68750.1,0.440572591,0.161537614
LOC_Os10g21190.1,0.440572591,0.161537614
LOC_Os05g49230.1,0.440572591,0.161537614
LOC_Os07g01090.1,0.440572591,0.161537614
LOC_Os03g63010.1,0.440572591,0.161537614
LOC_Os12g38110.1,0.231325546,0.201751062
LOC_Os12g04220.1,0.231325546,0.201751062
LOC_Os03g20370.1,0.231325546,0.201751062
LOC_Os07g07490.2,0.231325546,0.201751062
LOC_Os01g13370.1,0.387023123,0.202118681
LOC_Os02g49600.1,0.387023123,0.202118681
LOC_Os01g68330.1,0.387023123,0.202118681
LOC_Os07g46720.1,0.387023123,0.202118681
LOC_Os04g43916.1,0.387023123,0.202118681
LOC_Os01g70780.1,0.387023123,0.202118681
LOC_Os05g35530.1,0.387023123,0.202118681
LOC_Os09g32800.1,0.387023123,0.202118681
LOC_Os06g01390.1,0.131244533,0.16378203
LOC_Os01g01150.2,-1.378511623,0.16361723
LOC_Os06g07820.1,-1.378511623,0.16361723
LOC_Os06g02019.1,-1.378511623,0.16361723
LOC_Os07g07050.1,-1.378511623,0.16361723
LOC_Os02g54090.1,-1.378511623,0.16361723
LOC_Os09g38070.1,-1.378511623,0.16361723
LOC_Os03g10640.1,-1.378511623,0.16361723
LOC_Os03g04000.1,-1.378511623,0.16361723
LOC_Os03g20900.1,-1.378511623,0.16361723
LOC_Os04g54640.1,-1.378511623,0.16361723
LOC_Os04g59550.5,-1.378511623,0.16361723
LOC_Os03g61260.4,-1.378511623,0.16361723
LOC_Os06g36090.1,-1.378511623,0.16361723
LOC_Os07g36250.2,-2,0.201480186
LOC_Os07g03130.1,-2,0.201480186
LOC_Os01g07740.3,-2,0.201480186
LOC_Os03g02240.1,-2,0.201480186
LOC_Os02g48640.1,-2,0.201480186
LOC_Os03g60350.1,-2,0.201480186
LOC_Os03g06520.1,-2,0.201480186
LOC_Os03g20860.1,-2,0.201480186
LOC_Os01g52050.1,-2,0.201480186
LOC_Os03g17000.2,-2,0.201480186
LOC_Os02g06910.1,-2,0.201480186
LOC_Os01g59060.1,-2,0.201480186
LOC_Os03g29460.1,-2,0.201480186
LOC_Os02g19140.1,-2,0.201480186
LOC_Os11g33090.1,-2,0.201480186
LOC_Os07g43330.1,-2,0.201480186
LOC_Os03g03450.1,-2,0.201480186
LOC_Os03g13000.1,-2,0.201480186
LOC_Os02g33149.1,-2,0.201480186
LOC_Os02g53750.1,-2,0.201480186
LOC_Os09g25550.1,-2,0.201480186
LOC_Os09g40000.3,-2,0.201480186
LOC_Os02g40030.1,-2,0.201480186
LOC_Os05g09630.1,-2,0.201480186
LOC_Os05g28520.2,-2,0.201480186
LOC_Os02g50100.1,-2,0.201480186
LOC_Os03g62750.4,-2,0.201480186
LOC_Os04g36859.1,-2,0.201480186
LOC_Os05g32320.1,-2,0.201480186
LOC_Os03g38930.1,-2,0.201480186
LOC_Os03g63490.1,-2,0.201480186
LOC_Os06g08400.1,-2,0.201480186
LOC_Os07g35290.1,-2,0.201480186
LOC_Os06g48650.1,-2,0.201480186
LOC_Os06g44270.1,-2,0.201480186
LOC_Os04g46940.1,-2,0.201480186
LOC_Os02g22480.1,-2,0.201480186
LOC_Os11g42350.2,-2,0.201480186
LOC_Os06g36400.1,-2,0.201480186
LOC_Os02g06640.1,-2,0.201480186
LOC_Os02g29030.1,-2,0.201480186
LOC_Os02g32350.1,-2,0.201480186
LOC_Os03g14450.2,-2,0.201480186
LOC_Os05g44310.1,-2,0.201480186
LOC_Os04g20960.1,-2,0.201480186
LOC_Os03g57680.1,-2,0.201480186
LOC_Os01g28500.1,-2,0.201480186
LOC_Os02g52340.1,-1.485426827,0.164529138
LOC_Os03g61730.1,-1.485426827,0.164529138
LOC_Os04g31040.1,-1.485426827,0.164529138
LOC_Os01g04130.1,-1.485426827,0.164529138
LOC_Os04g38480.1,-1.485426827,0.164529138
LOC_Os11g02400.1,-1.485426827,0.164529138
LOC_Os12g19040.1,-1.485426827,0.164529138
LOC_Os08g34060.2,-1.485426827,0.164529138
LOC_Os11g06760.1,-1.485426827,0.164529138
LOC_Os05g46720.1,-1.485426827,0.164529138
LOC_Os07g44790.1,-1.485426827,0.164529138
LOC_Os10g38229.1,-1.485426827,0.164529138
LOC_Os08g19140.1,-1.485426827,0.164529138
LOC_Os10g41610.1,-1.485426827,0.164529138
LOC_Os04g41100.5,0.229481846,0.16299692
LOC_Os01g72340.1,0.229481846,0.16299692
LOC_Os04g35090.1,-0.830074999,0.162936321
LOC_Os02g45070.1,-0.830074999,0.162936321
LOC_Os06g05120.2,-1.736965594,0.16356486
LOC_Os02g09470.1,-1.736965594,0.16356486
LOC_Os05g40410.1,-1.736965594,0.16356486
LOC_Os10g28210.1,-1.736965594,0.16356486
LOC_Os09g07630.1,-1.736965594,0.16356486
LOC_Os03g11330.1,-1.736965594,0.16356486
LOC_Os03g54000.2,-1.736965594,0.16356486
LOC_Os03g01130.2,-1.736965594,0.16356486
LOC_Os01g61860.2,-1.736965594,0.16356486
LOC_Os01g53020.1,-1.736965594,0.16356486
LOC_Os07g42410.1,-1.736965594,0.16356486
LOC_Os12g41956.1,-1.736965594,0.16356486
LOC_Os06g22810.1,-1.736965594,0.16356486
LOC_Os04g51400.2,-1.736965594,0.16356486
LOC_Os03g15840.1,-1.736965594,0.16356486
LOC_Os03g62250.1,-1.736965594,0.16356486
LOC_Os12g37390.1,-1.736965594,0.16356486
LOC_Os04g56630.1,-1.736965594,0.16356486
LOC_Os10g30580.1,-1.736965594,0.16356486
LOC_Os03g51600.1,-1.736965594,0.16356486
LOC_Os03g36730.1,1,0.20097047
LOC_Os03g01090.1,1,0.20097047
LOC_Os12g06380.1,1,0.20097047
LOC_Os01g59740.1,1,0.20097047
LOC_Os01g01484.4,1,0.20097047
LOC_Os03g58090.1,1,0.20097047
LOC_Os02g04950.1,1,0.20097047
LOC_Os08g33850.2,1,0.20097047
LOC_Os03g18710.1,1,0.20097047
LOC_Os09g04730.1,1,0.20097047
LOC_Os07g10610.2,1,0.20097047
LOC_Os01g62244.3,1,0.20097047
LOC_Os05g27920.1,1,0.20097047
LOC_Os06g08490.1,1,0.20097047
LOC_Os03g19720.1,1,0.20097047
LOC_Os06g38940.1,1,0.20097047
LOC_Os05g18770.1,1,0.20097047
LOC_Os05g23470.2,1,0.20097047
LOC_Os01g16110.2,1,0.20097047
LOC_Os08g04150.1,1,0.20097047
LOC_Os01g01070.3,1,0.20097047
LOC_Os01g67750.1,1,0.20097047
LOC_Os03g16780.1,1,0.20097047
LOC_Os03g44310.1,1,0.20097047
LOC_Os07g40320.1,1,0.20097047
LOC_Os06g14470.1,1,0.20097047
LOC_Os02g32590.1,1,0.20097047
LOC_Os12g40340.1,1,0.20097047
LOC_Os01g61030.1,1,0.20097047
LOC_Os02g17970.2,1,0.20097047
LOC_Os02g56960.1,1,0.20097047
LOC_Os02g45660.1,1,0.20097047
LOC_Os12g43950.2,1,0.20097047
LOC_Os05g31254.1,1,0.20097047
LOC_Os06g41384.2,0.530514717,0.200896516
LOC_Os12g44170.1,0.530514717,0.200896516
LOC_Os08g25310.1,0.530514717,0.200896516
LOC_Os10g28230.1,0.530514717,0.200896516
LOC_Os05g08990.1,0.530514717,0.200896516
LOC_Os01g66350.1,0.530514717,0.200896516
LOC_Os11g05080.1,0.530514717,0.200896516
LOC_Os12g24250.1,0.530514717,0.200896516
LOC_Os02g51070.1,0.530514717,0.200896516
LOC_Os01g48960.1,0.530514717,0.200896516
LOC_Os01g72880.1,0.289506617,0.205387492
LOC_Os06g31100.1,0.289506617,0.205387492
LOC_Os08g44770.2,-0.874469118,0.205527409
LOC_Os10g33720.1,-0.874469118,0.205527409
LOC_Os06g43760.1,0.084064265,0.166967542
LOC_Os01g65080.1,0.018859027,0.167195554
LOC_Os01g52500.4,-1.070389328,0.20621973
LOC_Os03g03100.1,-1.070389328,0.20621973
LOC_Os04g18090.1,-1.070389328,0.20621973
LOC_Os03g53310.1,-1.070389328,0.20621973
LOC_Os06g23504.2,-1.070389328,0.20621973
LOC_Os03g63410.1,-0.798366139,0.206801279
LOC_Os11g05850.2,0.152003093,0.167859458
LOC_Os04g42090.4,-0.137503524,0.16825497
LOC_Os04g46620.1,0.180572246,0.208346023
LOC_Os01g67290.1,0.736965594,0.208154891
LOC_Os01g51120.2,0.736965594,0.208154891
LOC_Os03g20980.1,0.736965594,0.208154891
LOC_Os11g30410.1,0.736965594,0.208154891
LOC_Os06g48534.1,0.736965594,0.208154891
LOC_Os02g54080.2,0.736965594,0.208154891
LOC_Os07g04690.1,0.736965594,0.208154891
LOC_Os07g40800.1,0.736965594,0.208154891
LOC_Os11g05650.1,0.736965594,0.208154891
LOC_Os04g44840.1,0.736965594,0.208154891
LOC_Os04g01540.1,0.736965594,0.208154891
LOC_Os01g61640.1,0.736965594,0.208154891
LOC_Os07g37270.1,0.736965594,0.208154891
LOC_Os01g62840.1,0.736965594,0.208154891
LOC_Os01g54010.1,0.736965594,0.208154891
LOC_Os09g37000.1,0.736965594,0.208154891
LOC_Os05g28200.1,0.736965594,0.208154891
LOC_Os02g43690.3,0.736965594,0.208154891
LOC_Os01g12200.1,0.736965594,0.208154891
LOC_Os05g29050.2,0.736965594,0.208154891
LOC_Os12g17320.1,0.736965594,0.208154891
LOC_Os12g34108.1,0.112474729,0.208702238
LOC_Os08g40260.1,0.112474729,0.208702238
LOC_Os07g05820.1,-0.833990049,0.168601087
LOC_Os01g70400.1,-0.94753258,0.209314133
LOC_Os03g03020.1,-0.94753258,0.209314133
LOC_Os07g47290.1,-0.94753258,0.209314133
LOC_Os01g60790.1,-0.94753258,0.209314133
LOC_Os06g40650.1,-0.94753258,0.209314133
LOC_Os01g34480.3,0.222392421,0.209656224
LOC_Os06g04800.1,-1.192645078,0.209839193
LOC_Os12g44390.1,-1.192645078,0.209839193
LOC_Os01g63220.1,-1.192645078,0.209839193
LOC_Os03g15700.1,-1.192645078,0.209839193
LOC_Os02g49326.1,-1.192645078,0.209839193
LOC_Os11g43510.1,-1.192645078,0.209839193
LOC_Os01g47560.1,-1.192645078,0.209839193
LOC_Os05g01600.2,0.222392421,0.169455439
LOC_Os01g56890.1,0.222392421,0.169455439
LOC_Os05g32850.2,0.222392421,0.169455439
LOC_Os05g11780.1,-1.064130337,0.169419448
LOC_Os05g38520.1,-1.064130337,0.169419448
LOC_Os01g73880.1,-1.064130337,0.169419448
LOC_Os03g59020.1,0.093109404,0.210454709
LOC_Os01g73250.1,0.022720077,0.21156582
LOC_Os03g15050.1,-0.365971752,0.1712322
LOC_Os07g37550.1,-0.745427173,0.171369143
LOC_Os09g29490.1,-1.169925001,0.171549733
LOC_Os06g16280.1,-1.169925001,0.171549733
LOC_Os08g31200.1,-1.169925001,0.171549733
LOC_Os10g42430.1,-1.169925001,0.171549733
LOC_Os03g21740.1,0.148098639,0.172485516
LOC_Os02g21970.1,0.109624491,0.213738662
LOC_Os09g15770.1,0.109624491,0.213738662
LOC_Os04g04950.1,0.362570079,0.214692829
LOC_Os01g52920.1,0.362570079,0.214692829
LOC_Os01g63420.1,0.362570079,0.214692829
LOC_Os10g25680.1,0.362570079,0.214692829
LOC_Os06g09540.1,0.362570079,0.214692829
LOC_Os02g46962.1,0.362570079,0.214692829
LOC_Os03g27820.1,0.362570079,0.214692829
LOC_Os06g33710.1,0.362570079,0.214692829
LOC_Os01g10150.2,0.362570079,0.214692829
LOC_Os01g37800.1,0.362570079,0.214692829
LOC_Os11g38900.1,0.415037499,0.17322745
LOC_Os12g01680.1,0.415037499,0.17322745
LOC_Os01g59980.1,0.275634443,0.215105461
LOC_Os08g12760.1,0.275634443,0.215105461
LOC_Os03g19690.1,-0.839535328,0.215426173
LOC_Os11g05930.2,-0.839535328,0.215426173
LOC_Os05g48800.3,-0.712718048,0.215407729
LOC_Os01g50770.1,-0.807354922,0.215376407
LOC_Os09g12660.1,-0.807354922,0.215376407
LOC_Os09g12290.1,-0.807354922,0.215376407
LOC_Os02g04460.1,-0.807354922,0.215376407
LOC_Os01g11946.1,0.847996907,0.180235928
LOC_Os03g55640.1,0.847996907,0.180235928
LOC_Os07g02090.1,0.847996907,0.180235928
LOC_Os01g55780.1,0.847996907,0.180235928
LOC_Os04g31000.1,0.847996907,0.180235928
LOC_Os01g65986.1,0.847996907,0.180235928
LOC_Os02g24330.1,0.847996907,0.180235928
LOC_Os10g34030.1,0.847996907,0.180235928
LOC_Os03g15860.1,0.847996907,0.180235928
LOC_Os06g44370.1,0.847996907,0.180235928
LOC_Os12g30020.1,0.847996907,0.180235928
LOC_Os04g53670.1,0.847996907,0.180235928
LOC_Os05g39650.1,0.847996907,0.180235928
LOC_Os04g55210.1,0.847996907,0.180235928
LOC_Os01g59850.1,0.847996907,0.180235928
LOC_Os10g31040.1,0.847996907,0.180235928
LOC_Os08g08220.1,0.847996907,0.180235928
LOC_Os03g62850.1,0.847996907,0.180235928
LOC_Os08g09240.3,0.263034406,0.174485624
LOC_Os01g27520.2,0.263034406,0.174485624
LOC_Os04g44610.1,0.540568381,0.174337876
LOC_Os07g44610.2,0.540568381,0.174337876
LOC_Os08g43360.1,0.540568381,0.174337876
LOC_Os09g11230.1,0.540568381,0.174337876
LOC_Os06g42030.1,0.540568381,0.174337876
LOC_Os03g61920.1,0.540568381,0.174337876
LOC_Os06g48760.2,0.540568381,0.174337876
LOC_Os01g05800.2,-0.039528364,0.174185178
LOC_Os04g40850.1,0.169925001,0.180883038
LOC_Os06g12690.5,0.169925001,0.180883038
LOC_Os05g34070.1,0.169925001,0.180883038
LOC_Os06g04030.1,0.078002512,0.181096883
LOC_Os01g68320.5,-0.736965594,0.181862109
LOC_Os02g42040.1,0.175086707,0.175582456
LOC_Os12g05650.1,0.206450877,0.182236647
LOC_Os02g03230.1,-0.887525271,0.182313089
LOC_Os01g72890.2,0.485426827,0.218633717
LOC_Os04g31390.1,0.485426827,0.218633717
LOC_Os10g30370.2,0.485426827,0.218633717
LOC_Os05g11140.3,0.485426827,0.218633717
LOC_Os11g14140.1,0.485426827,0.218633717
LOC_Os03g58970.1,0.485426827,0.218633717
LOC_Os03g18220.1,0.485426827,0.218633717
LOC_Os03g12360.2,0.485426827,0.218633717
LOC_Os08g03370.1,0.485426827,0.218633717
LOC_Os03g57500.1,0.584962501,0.183183137
LOC_Os02g04080.1,0.584962501,0.183183137
LOC_Os02g22090.1,0.584962501,0.183183137
LOC_Os05g25194.1,0.584962501,0.183183137
LOC_Os09g36040.1,0.584962501,0.183183137
LOC_Os03g43440.1,0.584962501,0.183183137
LOC_Os06g29350.1,0.584962501,0.183183137
LOC_Os03g56410.2,0.584962501,0.183183137
LOC_Os02g54700.2,0.321928095,0.176641379
LOC_Os05g33050.1,0.321928095,0.176641379
LOC_Os03g27840.1,0.321928095,0.176641379
LOC_Os03g12590.1,0.321928095,0.176641379
LOC_Os03g20790.1,-0.753360032,0.177102048
LOC_Os02g39880.1,2,0.179811719
LOC_Os01g53090.1,2,0.179811719
LOC_Os03g27390.2,2,0.179811719
LOC_Os06g01260.1,2,0.179811719
LOC_Os03g16080.2,2,0.179811719
LOC_Os02g02620.1,2,0.179811719
LOC_Os08g07790.1,2,0.179811719
LOC_Os07g40750.1,2,0.179811719
LOC_Os01g51154.3,2,0.179811719
LOC_Os01g16290.1,2,0.179811719
LOC_Os01g51630.1,2,0.179811719
LOC_Os05g33260.2,2,0.179811719
LOC_Os02g53740.3,2,0.179811719
LOC_Os04g01970.1,2,0.179811719
LOC_Os04g59010.1,2,0.179811719
LOC_Os02g03090.2,2,0.179811719
LOC_Os03g30570.1,2,0.179811719
LOC_Os01g66920.1,2,0.179811719
LOC_Os01g16960.1,2,0.179811719
LOC_Os08g35600.1,2,0.179811719
LOC_Os02g55000.1,2,0.179811719
LOC_Os06g20500.1,2,0.179811719
LOC_Os02g58110.1,2,0.179811719
LOC_Os02g48190.1,2,0.179811719
LOC_Os04g47830.1,2,0.179811719
LOC_Os01g64930.1,2,0.179811719
LOC_Os02g29340.1,2,0.179811719
LOC_Os09g24800.1,2,0.179811719
LOC_Os07g46620.1,2,0.179811719
LOC_Os12g44240.1,2,0.179811719
LOC_Os11g08330.1,2,0.179811719
LOC_Os01g42800.1,2,0.179811719
LOC_Os04g46930.1,2,0.179811719
LOC_Os12g03710.1,2,0.179811719
LOC_Os06g12360.1,2,0.179811719
LOC_Os04g56590.1,2,0.179811719
LOC_Os01g13470.1,2,0.179811719
LOC_Os01g32780.1,2,0.179811719
LOC_Os12g41190.1,2,0.179811719
LOC_Os01g03110.1,2,0.179811719
LOC_Os03g38730.3,2,0.179811719
LOC_Os01g69090.1,2,0.179811719
LOC_Os01g70550.1,2,0.179811719
LOC_Os11g04710.1,2,0.179811719
LOC_Os01g13460.1,2,0.179811719
LOC_Os04g52190.1,2,0.179811719
LOC_Os02g57470.1,2,0.179811719
LOC_Os11g02369.1,2,0.179811719
LOC_Os09g32520.1,2,0.179811719
LOC_Os05g02754.1,2,0.179811719
LOC_Os01g15000.1,2,0.179811719
LOC_Os05g02410.1,2,0.179811719
LOC_Os07g47110.1,2,0.179811719
LOC_Os04g10400.1,2,0.179811719
LOC_Os03g14730.1,2,0.179811719
LOC_Os02g39990.1,2,0.179811719
LOC_Os02g48810.1,2,0.179811719
LOC_Os04g57330.1,2,0.179811719
LOC_Os04g52200.1,2,0.179811719
LOC_Os03g51330.1,2,0.179811719
LOC_Os02g21920.2,2,0.179811719
LOC_Os05g31210.1,2,0.179811719
LOC_Os01g50080.1,2,0.179811719
LOC_Os04g47290.2,2,0.179811719
LOC_Os07g07610.1,2,0.179811719
LOC_Os02g48660.1,2,0.179811719
LOC_Os02g47830.1,2,0.179811719
LOC_Os01g50160.1,2,0.179811719
LOC_Os08g44260.2,2,0.179811719
LOC_Os04g42110.1,2,0.179811719
LOC_Os04g41040.1,2,0.179811719
LOC_Os01g62500.1,2,0.179811719
LOC_Os03g51550.2,2,0.179811719
LOC_Os11g28104.1,2,0.179811719
LOC_Os04g54420.1,2,0.179811719
LOC_Os04g43710.1,2,0.179811719
LOC_Os02g07040.1,2,0.179811719
LOC_Os01g42370.1,2,0.179811719
LOC_Os03g60810.1,2,0.179811719
LOC_Os04g33690.1,2,0.179811719
LOC_Os06g23530.1,2,0.179811719
LOC_Os11g19810.2,2,0.179811719
LOC_Os01g60350.1,2,0.179811719
LOC_Os05g35570.1,2,0.179811719
LOC_Os06g06720.1,2,0.179811719
LOC_Os09g32290.2,2,0.179811719
LOC_Os04g57970.1,2,0.179811719
LOC_Os03g03370.1,2,0.179811719
LOC_Os07g06970.1,2,0.179811719
LOC_Os11g29350.1,2,0.179811719
LOC_Os01g10230.1,2,0.179811719
LOC_Os01g68440.1,2,0.179811719
LOC_Os02g54090.3,2,0.179811719
LOC_Os01g72820.4,2,0.179811719
LOC_Os01g60309.1,2,0.179811719
LOC_Os08g07970.1,2,0.179811719
LOC_Os05g41750.1,2,0.179811719
LOC_Os05g09650.1,2,0.179811719
LOC_Os04g56939.1,2,0.179811719
LOC_Os05g30190.1,2,0.179811719
LOC_Os01g03914.2,2,0.179811719
LOC_Os04g53070.1,2,0.179811719
LOC_Os12g38630.1,2,0.179811719
LOC_Os02g35480.1,2,0.179811719
LOC_Os12g21870.1,2,0.179811719
LOC_Os03g59650.2,2,0.179811719
LOC_Os03g05812.3,2,0.179811719
LOC_Os11g47830.1,2,0.179811719
LOC_Os07g40480.1,2,0.179811719
LOC_Os04g33770.1,2,0.179811719
LOC_Os06g01670.1,2,0.179811719
LOC_Os01g38970.1,2,0.179811719
LOC_Os03g61130.1,2,0.179811719
LOC_Os07g45070.1,2,0.179811719
LOC_Os07g40630.1,2,0.179811719
LOC_Os02g34560.1,2,0.179811719
LOC_Os02g52730.1,2,0.179811719
LOC_Os04g17860.1,2,0.179811719
LOC_Os07g26390.1,2,0.179811719
LOC_Os06g43210.1,-0.61667136,0.2209422
LOC_Os05g05710.1,0.129283017,0.221102903
LOC_Os03g38980.2,0.392317423,0.185124286
LOC_Os06g50380.2,0.392317423,0.185124286
LOC_Os07g08880.3,0.392317423,0.185124286
LOC_Os06g20090.1,0.392317423,0.185124286
LOC_Os07g48350.1,-0.906890596,0.185631761
LOC_Os09g27210.1,-0.906890596,0.185631761
LOC_Os01g72790.1,-1,0.22204483
LOC_Os04g58780.1,-1,0.22204483
LOC_Os07g40260.1,-0.95419631,0.186103403
LOC_Os08g27070.1,-0.782408565,0.222568101
LOC_Os01g54540.1,-0.782408565,0.222568101
LOC_Os03g19590.1,-0.718229032,0.223287678
LOC_Os07g11110.1,-0.746243408,0.186964729
LOC_Os05g05700.2,-0.030696797,0.187477611
LOC_Os09g38100.1,-1.321928095,0.187440565
LOC_Os05g33520.1,-1.321928095,0.187440565
LOC_Os10g38950.1,-1.321928095,0.187440565
LOC_Os12g04290.1,-1.222392421,0.26075824
LOC_Os07g39710.1,-1.222392421,0.26075824
LOC_Os02g16709.1,-1.222392421,0.26075824
LOC_Os12g08170.1,-1.222392421,0.26075824
LOC_Os07g22450.1,-1.222392421,0.26075824
LOC_Os06g04560.1,-1.222392421,0.26075824
LOC_Os01g54020.2,-1.222392421,0.26075824
LOC_Os03g21550.1,-1.222392421,0.26075824
LOC_Os01g66960.1,-1.222392421,0.26075824
LOC_Os10g11260.1,-1.222392421,0.26075824
LOC_Os04g52100.1,-1.222392421,0.26075824
LOC_Os04g55920.2,-1.222392421,0.26075824
LOC_Os12g01200.2,-1.222392421,0.26075824
LOC_Os05g47980.1,-0.494197037,0.224245711
LOC_Os10g35010.1,0.133266531,0.261335912
LOC_Os04g51610.3,0.263034406,0.225027811
LOC_Os03g52690.1,-0.036525876,0.262475432
LOC_Os06g08720.2,0.222392421,0.263051098
LOC_Os07g36940.1,0.222392421,0.263051098
LOC_Os09g30130.2,0.415037499,0.189789277
LOC_Os02g08500.1,0.415037499,0.189789277
LOC_Os03g59470.1,0.415037499,0.189789277
LOC_Os03g60780.1,0.415037499,0.189789277
LOC_Os07g45074.1,0.415037499,0.189789277
LOC_Os05g48960.3,-0.855610091,0.190323095
LOC_Os06g47840.1,0.447458977,0.236261611
LOC_Os06g11790.2,0.447458977,0.236261611
LOC_Os06g39760.1,0.447458977,0.236261611
LOC_Os01g03760.1,0.447458977,0.236261611
LOC_Os10g19880.1,0.447458977,0.236261611
LOC_Os09g38390.1,0.447458977,0.236261611
LOC_Os07g47780.2,0.447458977,0.236261611
